paper_id,mechanism_id,title,year,review,material,sensor,signal,system,core,trajectory,validation_level,strong_validation_marker,weak_time_only_marker,L3plus,L4,period,metadata_review,material_family,sensor_family,signal_family,system_family,mode,mask
P_000887,MO_001,Robust Piezoelectric Biomolecular Membranes from Eggshell Protein for Wearable Sensors,2023,0,textile/yarn/fabric,piezoelectric sensor,voltage output,rehabilitation,piezoelectric sensor -> voltage output -> rehabilitation,textile/yarn/fabric -> piezoelectric sensor -> voltage output -> rehabilitation,3,0,0,1,0,2022-25,0,textile/fibre,self-powered,voltage,other,Higher-order recombination,"(0, 0, 0)"
P_001284,MO_002,A temperature responsive adhesive hydrogel for fabrication of flexible electronic sensors,2022,0,hydrogel,electrode,resistance/conductivity change,motion monitoring,electrode -> resistance/conductivity change -> motion monitoring,hydrogel -> electrode -> resistance/conductivity change -> motion monitoring,3,0,0,1,0,2022-25,0,hydrogel/organogel,bio/electrochemical,resistance/conductance,motion/human activity,Higher-order recombination,"(0, 0, 0)"
P_001303,MO_001,Strong and high-conductivity hydrogels with all-polymer nanofibrous networks for applications as high-capacitance flexible electrodes,2024,0,hydrogel,electrode,resistance/conductivity change,self-powered/energy storage,electrode -> resistance/conductivity change -> self-powered/energy storage,hydrogel -> electrode -> resistance/conductivity change -> self-powered/energy storage,3,0,0,1,0,2022-25,0,hydrogel/organogel,bio/electrochemical,resistance/conductance,energy/self-powered,Higher-order recombination,"(0, 0, 0)"
P_001529,MO_001,"All-textile, chip-less, battery-free body sensor networks enabled by a concentric multi-node hub antenna architecture",2025,0,textile/yarn/fabric,strain sensor,capacitance change,rehabilitation,strain sensor -> capacitance change -> rehabilitation,textile/yarn/fabric -> strain sensor -> capacitance change -> rehabilitation,3,0,0,1,0,2022-25,0,textile/fibre,mechanical,capacitance,other,Higher-order recombination,"(0, 0, 0)"
P_001626,MO_001,Preparation and properties of metal-core piezoelectric fibers for dynamic sensing using the double heat-shrinkage method,2025,0,Ag/AgNW,piezoelectric sensor,voltage output,motion monitoring,piezoelectric sensor -> voltage output -> motion monitoring,Ag/AgNW -> piezoelectric sensor -> voltage output -> motion monitoring,3,0,0,1,0,2022-25,0,metal,self-powered,voltage,motion/human activity,Higher-order recombination,"(0, 0, 0)"
P_001634,MO_001,Embedding textile capacitive sensing into smart wearables as a versatile solution for human motion capturing,2024,0,textile/yarn/fabric,capacitive sensor,capacitance change,motion monitoring,capacitive sensor -> capacitance change -> motion monitoring,textile/yarn/fabric -> capacitive sensor -> capacitance change -> motion monitoring,3,0,0,1,0,2022-25,0,textile/fibre,electrical,capacitance,motion/human activity,Higher-order recombination,"(0, 0, 0)"
P_001642,MO_001,Compliant Iontronic Triboelectric Gels with Phase-Locked Structure Enabled by Competitive Hydrogen Bonding,2024,0,ionogel/ionic liquid,tactile sensor,mechanical deformation,HMI,tactile sensor -> mechanical deformation -> HMI,ionogel/ionic liquid -> tactile sensor -> mechanical deformation -> HMI,3,0,0,1,0,2022-25,0,hydrogel/organogel,mechanical,mechanical,other,Material implementation,"(1, 0, 0)"
P_001660,MO_001,Meter-scale heterostructure printing for high-toughness fiber electrodes in intelligent digital apparel,2025,0,TPU/PU,electrode,resistance/conductivity change,wireless/IoT,electrode -> resistance/conductivity change -> wireless/IoT,TPU/PU -> electrode -> resistance/conductivity change -> wireless/IoT,3,0,0,1,0,2022-25,0,other,bio/electrochemical,resistance/conductance,interface/readout,Higher-order recombination,"(0, 0, 0)"
P_001706,MO_001,Selection of optimal fabrication parameters of an innovative pressure sensor using fuzzy-AHP method based on sensor characteristics for robotic gripper,2025,0,textile/yarn/fabric,pressure sensor,resistance/conductivity change,robotics/tactile,pressure sensor -> resistance/conductivity change -> robotics/tactile,textile/yarn/fabric -> pressure sensor -> resistance/conductivity change -> robotics/tactile,3,0,0,1,0,2022-25,0,textile/fibre,mechanical,resistance/conductance,motion/human activity,Higher-order recombination,"(0, 0, 0)"
P_002078,MO_001,Chipless Wireless Strain Sensor Based on Stretchable Piezoresistive Materials,2023,0,textile/yarn/fabric,strain sensor,impedance signal,health monitoring,strain sensor -> impedance signal -> health monitoring,textile/yarn/fabric -> strain sensor -> impedance signal -> health monitoring,3,0,0,1,0,2022-25,0,textile/fibre,mechanical,resistance/conductance,healthcare,Higher-order recombination,"(0, 0, 0)"
P_002157,MO_001,"Wireless wearable potentiometric sensor for simultaneous determination of pH, sodium and potassium in human sweat",2024,0,Ag/AgNW,pH sensor,chemical signal,wearable/flexible electronics,pH sensor -> chemical signal -> wearable/flexible electronics,Ag/AgNW -> pH sensor -> chemical signal -> wearable/flexible electronics,3,0,0,1,0,2022-25,0,metal,gas/chemical,other,wearable/e-skin,Higher-order recombination,"(0, 0, 0)"
P_002202,MO_001,Ultrahigh-power-density flexible piezoelectric energy harvester based on freestanding ferroelectric oxide thin films,2025,0,PDMS/Ecoflex,piezoelectric sensor,voltage output,motion monitoring,piezoelectric sensor -> voltage output -> motion monitoring,PDMS/Ecoflex -> piezoelectric sensor -> voltage output -> motion monitoring,3,0,0,1,0,2022-25,0,elastomer/polymer,self-powered,voltage,motion/human activity,Higher-order recombination,"(0, 0, 0)"
P_002297,MO_001,Disposable and flexible smart electronic tapes for long-term biopotential monitoring,2025,0,CNT,electrode,impedance signal,health monitoring,electrode -> impedance signal -> health monitoring,CNT -> electrode -> impedance signal -> health monitoring,3,0,0,1,0,2022-25,0,carbon,bio/electrochemical,resistance/conductance,healthcare,Higher-order recombination,"(0, 0, 0)"
P_002343,MO_001,Upcycling Compact Discs for Flexible and Stretchable Bioelectronic Applications,2022,0,CNT,pH sensor,resistance/conductivity change,wireless/IoT,pH sensor -> resistance/conductivity change -> wireless/IoT,CNT -> pH sensor -> resistance/conductivity change -> wireless/IoT,3,0,0,1,0,2022-25,0,carbon,gas/chemical,resistance/conductance,interface/readout,Material implementation,"(1, 0, 0)"
P_002406,MO_001,Ti3C2Tx Composite Aerogels Enable Pressure Sensors for Dialect Speech Recognition Assisted by Deep Learning,2024,0,MXene,pressure sensor,current signal,portable electronics,pressure sensor -> current signal -> portable electronics,MXene -> pressure sensor -> current signal -> portable electronics,3,0,0,1,0,2022-25,0,carbon,mechanical,current,other,Higher-order recombination,"(0, 0, 0)"
P_002583,MO_001,StressFit: a hybrid wearable physicochemical sensor suite for simultaneously measuring electromyogram and sweat cortisol,2024,0,PEDOT:PSS,temperature sensor,voltage output,HMI,temperature sensor -> voltage output -> HMI,PEDOT:PSS -> temperature sensor -> voltage output -> HMI,3,0,0,1,0,2022-25,0,conductive polymer,thermal,voltage,other,Higher-order recombination,"(0, 0, 0)"
P_002643,MO_001,Fully Printed 3D‐Thermoformed Electroluminescent Capacitive System for Human–Machine Interface Applications,2025,0,Ag/AgNW,tactile sensor,capacitance change,HMI,tactile sensor -> capacitance change -> HMI,Ag/AgNW -> tactile sensor -> capacitance change -> HMI,3,0,0,1,0,2022-25,0,metal,mechanical,capacitance,other,Higher-order recombination,"(0, 0, 0)"
P_002745,MO_001,Motion-unrestricted dynamic electrocardiogram system utilizing imperceptible electronics,2025,0,Ag/AgNW,pressure sensor,physiological signal,wireless/IoT,pressure sensor -> physiological signal -> wireless/IoT,Ag/AgNW -> pressure sensor -> physiological signal -> wireless/IoT,3,0,0,1,0,2022-25,0,metal,mechanical,other,interface/readout,Higher-order recombination,"(0, 0, 0)"
P_002753,MO_001,Triboelectric tactile sensor for pressure and temperature sensing in high-temperature applications,2025,0,Ag/AgNW,pressure sensor,voltage output,robotics/tactile,pressure sensor -> voltage output -> robotics/tactile,Ag/AgNW -> pressure sensor -> voltage output -> robotics/tactile,3,0,0,1,0,2022-25,0,metal,mechanical,voltage,motion/human activity,Higher-order recombination,"(0, 0, 0)"
P_002824,MO_001,Self-powered flexible ultralong electrode sensor made by material-extrusion for artificial intelligence driven accurate motion recognition,2024,0,CNT,electrode,voltage output,motion monitoring,electrode -> voltage output -> motion monitoring,CNT -> electrode -> voltage output -> motion monitoring,3,0,0,1,0,2022-25,0,carbon,bio/electrochemical,voltage,motion/human activity,Higher-order recombination,"(0, 0, 0)"
P_002884,MO_001,Wireless pressure monitoring system utilizing a 3D-printed Origami pressure sensor array,2024,0,TPU/PU,pressure sensor,capacitance change,wireless/IoT,pressure sensor -> capacitance change -> wireless/IoT,TPU/PU -> pressure sensor -> capacitance change -> wireless/IoT,3,0,0,1,0,2022-25,0,other,mechanical,capacitance,interface/readout,Higher-order recombination,"(0, 0, 0)"
P_002895,MO_001,Monolithically integrated ionic triboelectric nanogenerators for deformable energy harvesting and self powered sensing,2025,0,ionogel/ionic liquid,electrode,mechanical deformation,motion monitoring,electrode -> mechanical deformation -> motion monitoring,ionogel/ionic liquid -> electrode -> mechanical deformation -> motion monitoring,3,0,0,1,0,2022-25,0,hydrogel/organogel,bio/electrochemical,mechanical,motion/human activity,Higher-order recombination,"(0, 0, 0)"
P_002963,MO_001,Pushing the Electrochemical Performance Limits of Polypyrrole Toward Stable Microelectronic Devices,2023,0,CNT,strain sensor,capacitance change,motion monitoring,strain sensor -> capacitance change -> motion monitoring,CNT -> strain sensor -> capacitance change -> motion monitoring,3,0,0,1,0,2022-25,0,carbon,mechanical,capacitance,motion/human activity,Higher-order recombination,"(0, 0, 0)"
P_002991,MO_001,Optical wireless data transfer through skin for implantable biomedical electronics,2025,0,Au,temperature sensor,voltage output,wearable/flexible electronics,temperature sensor -> voltage output -> wearable/flexible electronics,Au -> temperature sensor -> voltage output -> wearable/flexible electronics,3,0,0,1,0,2022-25,0,metal,thermal,voltage,wearable/e-skin,Higher-order recombination,"(0, 0, 0)"
P_003057,MO_001,"Ultrafast readout, crosstalk suppression iontronic array enabled by frequency-coding architecture",2024,0,PVDF,capacitive sensor,capacitance change,motion monitoring,capacitive sensor -> capacitance change -> motion monitoring,PVDF -> capacitive sensor -> capacitance change -> motion monitoring,3,0,0,1,0,2022-25,0,elastomer/polymer,electrical,capacitance,motion/human activity,Higher-order recombination,"(0, 0, 0)"
P_003215,MO_001,Speaking without vocal folds using a machine-learning-assisted wearable sensing-actuation system,2024,0,Cu/Ni,wearable/e-skin,current signal,wearable/flexible electronics,wearable/e-skin -> current signal -> wearable/flexible electronics,Cu/Ni -> wearable/e-skin -> current signal -> wearable/flexible electronics,3,0,0,1,0,2022-25,0,metal,wearable/e-skin,current,wearable/e-skin,Higher-order recombination,"(0, 0, 0)"
P_003266,MO_001,A Full Textile Capacitive Woven Sensor,2022,0,Ag/AgNW,capacitive sensor,capacitance change,environmental monitoring,capacitive sensor -> capacitance change -> environmental monitoring,Ag/AgNW -> capacitive sensor -> capacitance change -> environmental monitoring,3,0,0,1,0,2022-25,0,metal,electrical,capacitance,environmental,Higher-order recombination,"(0, 0, 0)"
P_003520,MO_001,Shape and stiffness memory ionogels with programmable pressure-resistance response,2022,0,ionogel/ionic liquid,pressure sensor,resistance/conductivity change,health monitoring,pressure sensor -> resistance/conductivity change -> health monitoring,ionogel/ionic liquid -> pressure sensor -> resistance/conductivity change -> health monitoring,3,0,0,1,0,2022-25,0,hydrogel/organogel,mechanical,resistance/conductance,healthcare,Higher-order recombination,"(0, 0, 0)"
P_003634,MO_001,Self-Healing Liquid Metal Magnetic Hydrogels for Smart Feedback Sensors and High-Performance Electromagnetic Shielding,2023,0,hydrogel,strain sensor,current signal,health monitoring,strain sensor -> current signal -> health monitoring,hydrogel -> strain sensor -> current signal -> health monitoring,3,0,0,1,0,2022-25,0,hydrogel/organogel,mechanical,current,healthcare,Higher-order recombination,"(0, 0, 0)"
P_003675,MO_001,Decoding lip language using triboelectric sensors with deep learning,2022,0,Cu/Ni,triboelectric sensor,voltage output,HMI,triboelectric sensor -> voltage output -> HMI,Cu/Ni -> triboelectric sensor -> voltage output -> HMI,3,0,0,1,0,2022-25,0,metal,self-powered,voltage,other,Higher-order recombination,"(0, 0, 0)"
P_003719,MO_001,Stretchable all-gel organic electrochemical transistors,2025,0,ionogel/ionic liquid,pressure sensor,resistance/conductivity change,wearable/flexible electronics,pressure sensor -> resistance/conductivity change -> wearable/flexible electronics,ionogel/ionic liquid -> pressure sensor -> resistance/conductivity change -> wearable/flexible electronics,3,0,0,1,0,2022-25,0,hydrogel/organogel,mechanical,resistance/conductance,wearable/e-skin,Higher-order recombination,"(0, 0, 0)"
P_003738,MO_001,Self-powered tactile sensor for real-time recognition of Morse code based on machine learning,2024,0,Ag/AgNW,tactile sensor,voltage output,HMI,tactile sensor -> voltage output -> HMI,Ag/AgNW -> tactile sensor -> voltage output -> HMI,3,0,0,1,0,2022-25,0,metal,mechanical,voltage,other,Higher-order recombination,"(0, 0, 0)"
P_003854,MO_001,Blade-Coated Porous 3D Carbon Composite Electrodes Coupled with Multiscale Interfaces for Highly Sensitive All-Paper Pressure Sensors,2024,0,Cu/Ni,pressure sensor,current signal,health monitoring,pressure sensor -> current signal -> health monitoring,Cu/Ni -> pressure sensor -> current signal -> health monitoring,3,0,0,1,0,2022-25,0,metal,mechanical,current,healthcare,Higher-order recombination,"(0, 0, 0)"
P_003996,MO_001,Inherently integrated microfiber-based flexible proprioceptive sensor for feedback-controlled soft actuators,2024,0,textile/yarn/fabric,capacitive sensor,capacitance change,robotics/tactile,capacitive sensor -> capacitance change -> robotics/tactile,textile/yarn/fabric -> capacitive sensor -> capacitance change -> robotics/tactile,3,0,0,1,0,2022-25,0,textile/fibre,electrical,capacitance,motion/human activity,Higher-order recombination,"(0, 0, 0)"
P_004067,MO_001,An intelligent hybrid-fabric wristband system enabled by thermal encapsulation for ergonomic human-machine interaction,2025,0,Ag/AgNW,pressure sensor,capacitance change,wireless/IoT,pressure sensor -> capacitance change -> wireless/IoT,Ag/AgNW -> pressure sensor -> capacitance change -> wireless/IoT,3,0,0,1,0,2022-25,0,metal,mechanical,capacitance,interface/readout,Higher-order recombination,"(0, 0, 0)"
P_004190,MO_001,A high-κ homogeneous ink for printable electroluminescent devices,2025,0,Cu/Ni,tactile sensor,capacitance change,HMI,tactile sensor -> capacitance change -> HMI,Cu/Ni -> tactile sensor -> capacitance change -> HMI,3,0,0,1,0,2022-25,0,metal,mechanical,capacitance,other,Higher-order recombination,"(0, 0, 0)"
P_004240,MO_001,Highly sensitive and broadband meta-mechanoreceptor via mechanical frequency-division multiplexing,2023,0,Au,resistive sensor,frequency/wavelength signal,motion monitoring,resistive sensor -> frequency/wavelength signal -> motion monitoring,Au -> resistive sensor -> frequency/wavelength signal -> motion monitoring,3,0,0,1,0,2022-25,0,metal,electrical,frequency/wavelength,motion/human activity,Higher-order recombination,"(0, 0, 0)"
P_004362,MO_001,Cartilage-bioinspired tenacious concrete-like hydrogel verified via in-situ testing,2025,0,hydrogel,pressure sensor,resistance/conductivity change,wireless/IoT,pressure sensor -> resistance/conductivity change -> wireless/IoT,hydrogel -> pressure sensor -> resistance/conductivity change -> wireless/IoT,3,0,0,1,0,2022-25,0,hydrogel/organogel,mechanical,resistance/conductance,interface/readout,Higher-order recombination,"(0, 0, 0)"
P_004602,MO_001,Cellulose nanofiber-mediated manifold dynamic synergy enabling adhesive and photo-detachable hydrogel for self-powered E-skin,2024,0,hydrogel,wearable/e-skin,voltage output,motion monitoring,wearable/e-skin -> voltage output -> motion monitoring,hydrogel -> wearable/e-skin -> voltage output -> motion monitoring,3,0,0,1,0,2022-25,0,hydrogel/organogel,wearable/e-skin,voltage,motion/human activity,Higher-order recombination,"(0, 0, 0)"
P_004608,MO_001,Advanced Functional Composite Materials toward E‐Skin for Health Monitoring and Artificial Intelligence,2022,0,CNT,strain sensor,resistance/conductivity change,HMI,strain sensor -> resistance/conductivity change -> HMI,CNT -> strain sensor -> resistance/conductivity change -> HMI,3,0,0,1,0,2022-25,1,carbon,mechanical,resistance/conductance,other,Higher-order recombination,"(0, 0, 0)"
P_004689,MO_001,"A Self-Powered, Highly Embedded and Sensitive Tribo-Label-Sensor for the Fast and Stable Label Printer",2022,0,Cu/Ni,electrode,voltage output,self-powered/energy storage,electrode -> voltage output -> self-powered/energy storage,Cu/Ni -> electrode -> voltage output -> self-powered/energy storage,3,0,0,1,0,2022-25,0,metal,bio/electrochemical,voltage,energy/self-powered,Higher-order recombination,"(0, 0, 0)"
P_004872,MO_001,Stretchable piezoelectric biocrystal thin films,2023,0,Ag/AgNW,tactile sensor,voltage output,motion monitoring,tactile sensor -> voltage output -> motion monitoring,Ag/AgNW -> tactile sensor -> voltage output -> motion monitoring,3,0,0,1,0,2022-25,0,metal,mechanical,voltage,motion/human activity,Higher-order recombination,"(0, 0, 0)"
P_004873,MO_001,Thermally Conductive and UV-EMI Shielding Electronic Textiles for Unrestricted and Multifaceted Health Monitoring,2024,0,liquid metal,temperature sensor,frequency/wavelength signal,health monitoring,temperature sensor -> frequency/wavelength signal -> health monitoring,liquid metal -> temperature sensor -> frequency/wavelength signal -> health monitoring,3,0,0,1,0,2022-25,0,metal,thermal,frequency/wavelength,healthcare,Transduction novelty,"(0, 1, 0)"
P_004891,MO_001,An intrinsically stretchable multi-biochemical sensor for sweat analysis using photo-patternable ecoflex,2023,0,Ag/AgNW,humidity sensor,resistance/conductivity change,wearable/flexible electronics,humidity sensor -> resistance/conductivity change -> wearable/flexible electronics,Ag/AgNW -> humidity sensor -> resistance/conductivity change -> wearable/flexible electronics,3,0,0,1,0,2022-25,0,metal,humidity/moisture,resistance/conductance,wearable/e-skin,Higher-order recombination,"(0, 0, 0)"
P_005254,MO_001,Adaptive tactile interaction transfer via digitally embroidered smart gloves,2024,0,Ag/AgNW,tactile sensor,resistance/conductivity change,robotics/tactile,tactile sensor -> resistance/conductivity change -> robotics/tactile,Ag/AgNW -> tactile sensor -> resistance/conductivity change -> robotics/tactile,3,0,0,1,0,2022-25,0,metal,mechanical,resistance/conductance,motion/human activity,Higher-order recombination,"(0, 0, 0)"
P_005358,MO_001,A nanoMIP sensor for real-time in vivo monitoring of levodopa pharmacokinetics in precision Parkinson’s therapy,2025,0,CNT,fiber sensor,current signal,wearable/flexible electronics,fiber sensor -> current signal -> wearable/flexible electronics,CNT -> fiber sensor -> current signal -> wearable/flexible electronics,3,0,0,1,0,2022-25,0,carbon,optical,current,wearable/e-skin,Material implementation,"(1, 0, 0)"
P_005383,MO_001,An optical/electronic artificial skin extends the robotic sense to molecular sensing,2025,0,CNT,temperature sensor,resistance/conductivity change,robotics/tactile,temperature sensor -> resistance/conductivity change -> robotics/tactile,CNT -> temperature sensor -> resistance/conductivity change -> robotics/tactile,3,0,0,1,0,2022-25,0,carbon,thermal,resistance/conductance,motion/human activity,Higher-order recombination,"(0, 0, 0)"
P_005452,MO_001,"Ultra-sensitive, highly linear, and hysteresis-free strain sensors enabled by gradient stiffness sliding strategy",2024,0,hydrogel,strain sensor,capacitance change,motion monitoring,strain sensor -> capacitance change -> motion monitoring,hydrogel -> strain sensor -> capacitance change -> motion monitoring,3,0,0,1,0,2022-25,0,hydrogel/organogel,mechanical,capacitance,motion/human activity,Higher-order recombination,"(0, 0, 0)"
P_005530,MO_001,Winding printed electrode patterns to customize soft fiber pumps,2025,0,Cu/Ni,electrode,voltage output,motion monitoring,electrode -> voltage output -> motion monitoring,Cu/Ni -> electrode -> voltage output -> motion monitoring,3,0,0,1,0,2022-25,0,metal,bio/electrochemical,voltage,motion/human activity,Higher-order recombination,"(0, 0, 0)"
P_005565,MO_001,Transparent Touch Sensors on Wood: Sustainable Development With Aesthetic Integrity,2024,0,Ag/AgNW,tactile sensor,capacitance change,environmental monitoring,tactile sensor -> capacitance change -> environmental monitoring,Ag/AgNW -> tactile sensor -> capacitance change -> environmental monitoring,3,0,0,1,0,2022-25,0,metal,mechanical,capacitance,environmental,Higher-order recombination,"(0, 0, 0)"
P_005726,MO_001,Laser-Induced MXene-Functionalized Graphene Nanoarchitectonics-Based Microsupercapacitor for Health Monitoring Application,2023,0,MXene,electrode,capacitance change,health monitoring,electrode -> capacitance change -> health monitoring,MXene -> electrode -> capacitance change -> health monitoring,3,0,0,1,0,2022-25,0,carbon,bio/electrochemical,capacitance,healthcare,Higher-order recombination,"(0, 0, 0)"
P_005771,MO_004,Smart textile lighting/display system with multifunctional fibre devices for large scale smart home and IoT applications,2022,0,Cu/Ni,temperature sensor,resistance/conductivity change,wearable/flexible electronics,temperature sensor -> resistance/conductivity change -> wearable/flexible electronics,Cu/Ni -> temperature sensor -> resistance/conductivity change -> wearable/flexible electronics,3,0,0,1,0,2022-25,0,metal,thermal,resistance/conductance,wearable/e-skin,Higher-order recombination,"(0, 0, 0)"
P_005771,MO_005,Smart textile lighting/display system with multifunctional fibre devices for large scale smart home and IoT applications,2022,0,textile/yarn/fabric,biosensor/electrochemical,voltage output,wearable/flexible electronics,biosensor/electrochemical -> voltage output -> wearable/flexible electronics,textile/yarn/fabric -> biosensor/electrochemical -> voltage output -> wearable/flexible electronics,3,0,0,1,0,2022-25,0,textile/fibre,gas/chemical,voltage,wearable/e-skin,Higher-order recombination,"(0, 0, 0)"
P_005910,MO_001,Ultrahighly Sensitive Flexible Pressure Sensors with Dual-Mode Response Based on Monolayer Films of Calcium Niobate Nanosheets,2024,0,PET/PI/PVA,pressure sensor,capacitance change,motion monitoring,pressure sensor -> capacitance change -> motion monitoring,PET/PI/PVA -> pressure sensor -> capacitance change -> motion monitoring,3,0,0,1,0,2022-25,0,elastomer/polymer,mechanical,capacitance,motion/human activity,Higher-order recombination,"(0, 0, 0)"
P_005980,MO_001,"Ultrafast, autonomous self-healable iontronic skin exhibiting piezo-ionic dynamics",2022,0,ionogel/ionic liquid,wearable/e-skin,capacitance change,HMI,wearable/e-skin -> capacitance change -> HMI,ionogel/ionic liquid -> wearable/e-skin -> capacitance change -> HMI,3,0,0,1,0,2022-25,0,hydrogel/organogel,wearable/e-skin,capacitance,other,Transduction novelty,"(0, 1, 0)"
P_006165,MO_001,Screen-Printable Functional Nanomaterials for Flexible and Wearable Single-Enzyme-Based Energy-Harvesting and Self-Powered Biosensing Devices,2023,0,CNT,biosensor/electrochemical,voltage output,wearable/flexible electronics,biosensor/electrochemical -> voltage output -> wearable/flexible electronics,CNT -> biosensor/electrochemical -> voltage output -> wearable/flexible electronics,3,0,0,1,0,2022-25,0,carbon,gas/chemical,voltage,wearable/e-skin,Higher-order recombination,"(0, 0, 0)"
P_006186,MO_001,Analytic modeling and validation of strain in textile-based OLEDs for advanced textile display technologies,2024,0,ZnO/oxide,temperature sensor,optical/fluorescence,wearable/flexible electronics,temperature sensor -> optical/fluorescence -> wearable/flexible electronics,ZnO/oxide -> temperature sensor -> optical/fluorescence -> wearable/flexible electronics,3,0,0,1,0,2022-25,0,ceramic/oxide,thermal,frequency/wavelength,wearable/e-skin,Higher-order recombination,"(0, 0, 0)"
P_006291,MO_001,Surface engineering enabled highly sensitive humidity sensors in two-dimensional hexagonal boron nitride nanosheets,2024,0,Au,humidity sensor,capacitance change,HMI,humidity sensor -> capacitance change -> HMI,Au -> humidity sensor -> capacitance change -> HMI,3,0,0,1,0,2022-25,0,metal,humidity/moisture,capacitance,other,Higher-order recombination,"(0, 0, 0)"
P_006507,MO_001,Soft robotic hand with tactile palm-finger coordination,2025,0,textile/yarn/fabric,tactile sensor,optical/fluorescence,HMI,tactile sensor -> optical/fluorescence -> HMI,textile/yarn/fabric -> tactile sensor -> optical/fluorescence -> HMI,3,0,0,1,0,2022-25,0,textile/fibre,mechanical,frequency/wavelength,other,Higher-order recombination,"(0, 0, 0)"
P_006517,MO_001,A flexible and stretchable triboelectric nanogenerator based on a medical conductive hydrogel for biomechanical energy harvesting and electronic switches,2023,0,hydrogel,triboelectric sensor,voltage output,health monitoring,triboelectric sensor -> voltage output -> health monitoring,hydrogel -> triboelectric sensor -> voltage output -> health monitoring,3,0,0,1,0,2022-25,0,hydrogel/organogel,self-powered,voltage,healthcare,Higher-order recombination,"(0, 0, 0)"
P_006632,MO_001,Intelligent wireless theranostic contact lens for electrical sensing and regulation of intraocular pressure,2022,0,hydrogel,electrode,frequency/wavelength signal,wireless/IoT,electrode -> frequency/wavelength signal -> wireless/IoT,hydrogel -> electrode -> frequency/wavelength signal -> wireless/IoT,3,0,0,1,0,2022-25,0,hydrogel/organogel,bio/electrochemical,frequency/wavelength,interface/readout,Higher-order recombination,"(0, 0, 0)"
P_006672,MO_001,Double-Fishtail-Shaped FBG Wearable Device for Sitting Posture Recognition and Real-Time Respiratory Monitoring,2024,0,textile/yarn/fabric,wearable/e-skin,frequency/wavelength signal,wearable/flexible electronics,wearable/e-skin -> frequency/wavelength signal -> wearable/flexible electronics,textile/yarn/fabric -> wearable/e-skin -> frequency/wavelength signal -> wearable/flexible electronics,3,0,0,1,0,2022-25,0,textile/fibre,wearable/e-skin,frequency/wavelength,wearable/e-skin,Higher-order recombination,"(0, 0, 0)"
P_006836,MO_001,Linear magnet with fluid-solid-switchable cells for flexible devices,2025,0,hydrogel,wearable/e-skin,voltage output,wearable/flexible electronics,wearable/e-skin -> voltage output -> wearable/flexible electronics,hydrogel -> wearable/e-skin -> voltage output -> wearable/flexible electronics,3,0,0,1,0,2022-25,0,hydrogel/organogel,wearable/e-skin,voltage,wearable/e-skin,Higher-order recombination,"(0, 0, 0)"
P_006889,MO_001,In-situ detection of pH and dissolved oxygen in electrolyte of aqueous zinc-ion batteries,2025,0,carbon fiber,pH sensor,current signal,wireless/IoT,pH sensor -> current signal -> wireless/IoT,carbon fiber -> pH sensor -> current signal -> wireless/IoT,3,0,0,1,0,2022-25,0,carbon,gas/chemical,current,interface/readout,Higher-order recombination,"(0, 0, 0)"
P_006916,MO_001,Human tactile sensing and sensorimotor mechanism: from afferent tactile signals to efferent motor control,2024,0,CNT,tactile sensor,physiological signal,robotics/tactile,tactile sensor -> physiological signal -> robotics/tactile,CNT -> tactile sensor -> physiological signal -> robotics/tactile,3,0,0,1,0,2022-25,0,carbon,mechanical,other,motion/human activity,Transduction novelty,"(0, 1, 0)"
P_006984,MO_001,An epifluidic electronic patch with spiking sweat clearance for event-driven perspiration monitoring,2022,0,hydrogel,biosensor/electrochemical,resistance/conductivity change,wireless/IoT,biosensor/electrochemical -> resistance/conductivity change -> wireless/IoT,hydrogel -> biosensor/electrochemical -> resistance/conductivity change -> wireless/IoT,3,0,0,1,0,2022-25,0,hydrogel/organogel,gas/chemical,resistance/conductance,interface/readout,Higher-order recombination,"(0, 0, 0)"
P_007051,MO_001,Vialess heterogeneous skin patch for multimodal monitoring and stimulation,2025,0,Au,temperature sensor,optical/fluorescence,wireless/IoT,temperature sensor -> optical/fluorescence -> wireless/IoT,Au -> temperature sensor -> optical/fluorescence -> wireless/IoT,3,0,0,1,0,2022-25,0,metal,thermal,frequency/wavelength,interface/readout,Higher-order recombination,"(0, 0, 0)"
P_007057,MO_001,Skin-integrated stretchable actuators toward skin-compatible haptic feedback and closed-loop human-machine interactions,2023,0,Ag/AgNW,pressure sensor,mechanical deformation,motion monitoring,pressure sensor -> mechanical deformation -> motion monitoring,Ag/AgNW -> pressure sensor -> mechanical deformation -> motion monitoring,3,0,0,1,0,2022-25,0,metal,mechanical,mechanical,motion/human activity,Higher-order recombination,"(0, 0, 0)"
P_007191,MO_001,Strain-invariant frequency-selective metasurface for electromagnetic interference shielding in wearable electronics,2025,0,liquid metal,strain sensor,frequency/wavelength signal,wearable/flexible electronics,strain sensor -> frequency/wavelength signal -> wearable/flexible electronics,liquid metal -> strain sensor -> frequency/wavelength signal -> wearable/flexible electronics,3,0,0,1,0,2022-25,0,metal,mechanical,frequency/wavelength,wearable/e-skin,Higher-order recombination,"(0, 0, 0)"
